,language:,French,
,corpus:,French Web 2012,
,word form,frequence,
1,autre,311498,1
2,nouveau,192744,0
3,grand,191212,0
4,bon,188301,0
5,petit,161683,0
6,même,133491,0
7,dernier,109357,0
8,seul,86629,0
9,beau,79318,0
10,jeune,68814,0
11,meilleur,65608,0
12,français,64477,0
13,différent,64457,0
14,nombreux,63198,0
15,important,61873,0
16,juste,59079,0
17,vrai,52402,0
18,politique,50615,0
19,propre,49986,0
20,social,49961,0
21,possible,49132,0
22,général,48744,0
23,national,47260,0
24,simple,45294,0
25,plein,44548,0
26,gratuit,43640,0
27,gros,43261,0
28,fort,40137,0
29,haut,38417,0
30,ancien,38231,0
31,international,36420,0
32,principal,36063,0
33,présent,35492,0
34,sœur,34681,0
35,prochain,34583,0
36,difficile,33394,0
37,européen,33194,0
38,humain,32079,0
39,nécessaire,31817,0
40,réel,30489,0
41,facile,29483,0
42,économique,29391,0
43,actuel,26765,0
44,disponible,26500,0
45,particulier,26421,0
46,blanc,25876,0
47,local,25612,0
48,noir,25282,0
49,américain,24902,0
50,professionnel,24857,0
51,mauvais,24736,0
52,financier,24688,0
53,public,24071,0
54,responsable,23670,0
55,libre,23262,0
56,certain,23155,0
57,mondial,22823,0
58,long,22706,0
59,unique,22659,0
60,technique,22531,0
61,personnel,22374,0
62,publique,21746,0
63,divers,21710,0
64,longue,21496,0
65,véritable,21149,0
66,sœur,20924,0
67,étranger,20493,0
68,naturel,20426,0
69,internet,19605,0
70,vieux,19350,0
71,supérieur,18858,0
72,rapide,18834,0
73,chaud,18690,0
74,entier,18627,0
75,dur,18538,0
76,suivant,18528,0
77,capable,18313,0
78,proche,18295,0
79,moyen,18258,0
80,rouge,18012,0
81,complet,17981,0
82,gauche,17567,0
83,efficace,17558,0
84,excellent,17541,0
85,joli,17021,0
86,commun,16899,0
87,droit,16885,0
88,total,16723,0
89,normal,16604,0
90,large,16515,0
91,spécial,16400,0
92,populaire,16272,0
93,heureux,16160,0
94,final,16031,0
95,super,16017,0
96,faible,15978,0
97,fin,15841,0
98,commercial,15638,0
99,supplémentaire,15472,0
100,militaire,15437,0
101,court,15417,0
102,physique,15201,0
103,utile,14898,0
104,frais,14893,0
105,clair,14875,0
106,vidéo,14777,0
107,officiel,14770,0
108,bas,14720,0
109,futur,14565,0
110,essentiel,14528,0
111,traditionnel,14301,0
112,grave,14239,0
113,magnifique,14073,0
114,intéressant,14051,0
115,direct,13940,0
116,énorme,13644,0
117,relatif,13621,0
118,pire,13549,0
119,anglais,13548,0
120,culturel,13340,0
121,régional,13292,0
122,vert,13187,0
123,civil,13072,0
124,rare,13016,0
125,récent,12975,0
126,précis,12961,0
127,scientifique,12894,0
128,puissant,12874,0
129,léger,12846,0
130,riche,12775,0
131,doux,12740,0
132,central,12658,0
133,profond,12528,0
134,électrique,12370,0
135,précédent,12219,0
136,faux,12193,0
137,spécifique,12039,0
138,cher,12039,0
139,net,12005,0
140,moderne,12003,0
141,impossible,11811,0
142,nul,11795,0
143,original,11722,0
144,pratique,11705,0
145,classique,11496,0
146,actif,11490,0
147,médical,11394,0
148,froid,11358,0
149,historique,11259,0
150,lourd,11230,0
151,moindre,11149,0
152,bleu,11075,0
153,neuf,10971,0
154,double,10874,0
155,agréable,10848,0
156,positif,10844,0
157,majeur,10831,0
158,collectif,10815,0
159,conséquent,10676,0
160,scolaire,10632,0
161,numérique,10577,0
162,parfait,10491,0
163,quotidien,10479,0
164,familial,10320,0
165,idéal,10151,0
166,pur,10096,0
167,intérieur,10059,0
168,matériel,9902,0
169,individuel,9808,0
170,célèbre,9756,0
171,sportif,9721,0
172,extérieur,9629,0
173,sérieux,9607,0
174,portable,9508,0
175,exceptionnel,9438,0
176,présidentiel,9432,0
177,privé,9414,0
178,dangereux,9398,0
179,religieux,9372,0
180,issu,9347,0
181,allemand,9342,0
182,évident,9262,0
183,âgé,9258,0
184,durable,9238,0
185,africain,9151,0
186,indépendant,9114,0
187,alimentaire,9111,0
188,global,9088,0
189,virtuel,9007,0
190,mobile,8985,0
191,superbe,8972,0
192,pauvre,8719,0
193,administratif,8589,0
194,fameux,8519,0
195,vif,8507,0
196,content,8456,0
197,industriel,8399,0
198,électronique,8309,0
199,objectif,8289,0
200,fondamental,8236,0
,,,0
