,language:,French,
,corpus:,French Web 2012,
,word form,frequence,
1,temps,38463,1
2,jour,36202,0
3,an,35181,0
4,site,35055,0
5,jeu,32633,0
6,foi|fois,30853,0
7,monde,29863,0
8,année,29274,0
9,vie,27457,0
10,chose,27341,0
11,homme,26059,0
12,cas,22778,0
13,ligne,22722,0
14,pays,22495,0
15,travail,22109,0
16,enfant,21094,0
17,service,21053,0
18,France,20868,0
19,question,20518,0
20,femme,20249,0
21,place,19761,0
22,effet,19206,0
23,point,18726,0
24,maison,18503,0
25,casino,18471,0
26,moment,17915,0
27,groupe,17581,0
28,besoin,17287,0
29,entreprise,17188,0
30,moi|mois,16649,0
31,suite,16570,0
32,web,16182,0
33,lieu,16000,0
34,partie,15913,0
35,heure,15708,0
36,droit,15424,0
37,part,15376,0
38,prix,15080,0
39,niveau,14918,0
40,article,14874,0
41,raison,14845,0
42,projet,14824,0
43,problème,14613,0
44,système,14612,0
45,produit,14594,0
46,main,14563,0
47,information,14433,0
48,nombre,14401,0
49,histoire,14317,0
50,recherche,14309,0
51,fin,14229,0
52,gens,14155,0
53,exemple,13986,0
54,nom,13830,0
55,ville,13669,0
56,conseil,13396,0
57,eau,13393,0
58,internet,13362,0
59,société,13208,0
60,rapport,13185,0
61,façon,13052,0
62,cour|cours,13016,0
63,œil,12819,0
64,famille,12640,0
65,coup,12550,0
66,joueur,12379,0
67,semaine,12358,0
68,idée,12144,0
69,page,12024,0
70,argent,11978,0
71,type,11929,0
72,président,11860,0
73,mesure,11797,0
74,dieu,11570,0
75,marché,11542,0
76,fille,11488,0
77,tête,11447,0
78,côté,11442,0
79,sujet,11419,0
80,compte,11373,0
81,activité,11339,0
82,forme,11319,0
83,face,11207,0
84,programme,11129,0
85,état,11101,0
86,loi,10963,0
87,action,10926,0
88,membre,10853,0
89,ami,10808,0
90,équipe,10635,0
91,résultat,10611,0
92,situation,10609,0
93,mot,10571,0
94,qualité,10505,0
95,image,10378,0
96,affaire,10266,0
97,centre,10187,0
98,monsieur,10099,0
99,base,10036,0
100,développement,10032,0
101,pouvoir,10013,0
102,santé,9965,0
103,photo,9950,0
104,tour,9890,0
105,étude,9819,0
106,gouvernement,9756,0
107,film,9745,0
108,livre,9717,0
109,corps,9706,0
110,cœur,9606,0
111,choix,9528,0
112,moyen,9440,0
113,manière,9369,0
114,aide,9318,0
115,début,9293,0
116,condition,9243,0
117,région,9227,0
118,terre,9156,0
119,titre,9146,0
120,plan,9109,0
121,esprit,9019,0
122,cause,8988,0
123,air,8928,0
124,carte,8855,0
125,million,8836,0
126,terme,8829,0
127,formation,8823,0
128,fonction,8820,0
129,cadre,8796,0
130,sens,8767,0
131,client,8687,0
132,sécurité,8595,0
133,valeur,8490,0
134,traitement,8489,0
135,solution,8386,0
136,euro,8345,0
137,vue,8268,0
138,machine,8179,0
139,blog,8178,0
140,mort,8166,0
141,Paris,8128,0
142,risque,8088,0
143,organisation,8086,0
144,ministre,8070,0
145,salle,8037,0
146,expérience,7964,0
147,lien,7932,0
148,œuvre,7894,0
149,association,7888,0
150,genre,7842,0
151,journée,7797,0
152,réponse,7785,0
153,sein,7742,0
154,nuit,7730,0
155,couleur,7641,0
156,vente,7635,0
157,texte,7606,0
158,guerre,7546,0
159,plupart,7541,0
160,soir,7503,0
161,art,7466,0
162,chef,7403,0
163,sorte,7398,0
164,père,7351,0
165,domaine,7337,0
166,amour,7321,0
167,doute,7292,0
168,travers,7274,0
169,but,7236,0
170,occasion,7208,0
171,retour,7191,0
172,pied,7175,0
173,minute,7171,0
174,message,7142,0
175,mode,7061,0
176,objet,7060,0
177,application,7057,0
178,espace,7055,0
179,plaisir,7046,0
180,chance,7032,0
181,réseau,7029,0
182,période,6946,0
183,intérêt,6935,0
184,version,6847,0
185,voyage,6843,0
186,demande,6842,0
187,auteur,6821,0
188,chambre,6806,0
189,état,6780,0
190,gestion,6773,0
191,relation,6749,0
192,source,6746,0
193,utilisation,6732,0
194,école,6728,0
195,ordre,6721,0
196,création,6674,0
197,élément,6655,0
198,matière,6650,0
199,mouvement,6608,0
200,Europe,6604,0
,,,0
