,language:,French,
,corpus:,French Web 2012,
,word form,frequence,
1,de,484735124,1
2,la,260760851,0
3,et,224298880,0
4,le,213270164,0
5,les,182565803,0
6,?,176771384,0
7,des,143022861,0
8,en,139279523,0
9,un,131336195,0
10,est,116548321,0
11,que,105139288,0
12,une,102875828,0
13,pour,97713302,0
14,il,88724202,0
15,qui,79015372,0
16,dans,78998986,0
17,a,75074984,0
18,pas,73502159,0
19,sur,58652500,0
20,je,57015144,0
21,ce,54897048,0
22,par,53345375,0
23,plus,51229425,0
24,ne,50397411,0
25,avec,43224665,0
26,se,43134953,0
27,vous,41311168,0
28,mais,39392714,0
29,ou,35845750,0
30,on,34747722,0
31,son,32946649,0
32,elle,32105179,0
33,nous,30894729,0
34,sont,30840303,0
35,tout,27127438,0
36,comme,25484173,0
37,cette,25360088,0
38,si,25083936,0
39,bien,23754025,0
40,sa,22098540,0
41,y,21290626,0
42,?tre,21135649,0
43,fait,20932855,0
44,ont,19672829,0
45,m?me,19367766,0
46,faire,19284008,0
47,ses,18890418,0
48,était,18087180,0
49,ai,18038012,0
50,ils,17723623,0
51,lui,17040313,0
52,ces,16805432,0
53,leur,16673606,0
54,aussi,16050446,0
55,me,15174106,0
56,été,15112159,0
57,tr?s,14406418,0
58,sans,14028359,0
59,peut,13706897,0
60,deux,13652840,0
61,votre,13396856,0
62,tous,13271796,0
63,avait,13118049,0
64,tu,12015147,0
65,autres,11641147,0
66,peu,11588499,0
67,ça,11447699,0
68,donc,11298135,0
69,alors,11046025,0
70,mon,11027942,0
71,temps,10907888,0
72,encore,10580992,0
73,entre,10494297,0
74,avoir,10291791,0
75,o?,10166659,0
76,autre,9859659,0
77,apr?s,9798656,0
78,quand,9747812,0
79,ainsi,9501553,0
80,cela,9248290,0
81,non,9184071,0
82,notre,8927619,0
83,suis,8622149,0
84,fois,8552768,0
85,avant,8306493,0
86,moi,8268649,0
87,toujours,8048739,0
88,leurs,8008722,0
89,monde,7960824,0
90,car,7945958,0
91,moins,7903431,0
92,depuis,7848150,0
93,ans,7765860,0
94,dont,7628254,0
95,bon,7494247,0
96,vie,7486002,0
97,quelques,7388070,0
98,ma,7351710,0
99,soit,7168048,0
100,sous,6969098,0
101,beaucoup,6934885,0
102,toute,6929437,0
103,contre,6898282,0
104,va,6852163,0
105,voir,6824788,0
106,dit,6741786,0
107,faut,6734181,0
108,rien,6613576,0
109,l?,6542240,0
110,toutes,6442229,0
111,dire,6345448,0
112,cas,6263381,0
113,nos,6232558,0
114,puis,6173550,0
115,sera,6132382,0
116,site,6085085,0
117,trop,6035652,0
118,vers,5899903,0
119,grand,5872718,0
120,France,5815827,0
121,jour,5734556,0
122,déj?,5658948,0
123,pays,5639964,0
124,chaque,5441958,0
125,place,5427020,0
126,également,5331370,0
127,vos,5329904,0
128,jamais,5326728,0
129,mes,5269047,0
130,chez,5234780,0
131,cet,5227203,0
132,petit,5194134,0
133,doit,5060540,0
134,travail,5033719,0
135,vraiment,4966575,0
136,plusieurs,4926923,0
137,premier,4896227,0
138,elles,4777388,0
139,homme,4770623,0
140,chose,4756697,0
141,partie,4716405,0
142,ceux,4679373,0
143,personnes,4568322,0
144,part,4531956,0
145,moment,4503618,0
146,trois,4497104,0
147,ici,4478644,0
148,comment,4469935,0
149,personne,4465276,0
150,bonne,4464686,0
151,grande,4409095,0
152,mois,4402960,0
