,language:,French
,corpus:,French Web 2012
,word form,frequence
1,etre,1495122
2,avoir,1039767
3,faire,309755
4,pouvoir,258439
5,aller,123704
6,devoir,112301
7,dire,109837
8,voir,96019
9,prendre,80417
10,savoir,74068
11,mettre,73694
12,vouloir,69787
13,trouver,64184
14,donner,56499
15,venir,56214
16,passer,56037
17,falloir,54016
18,permettre,53302
19,utiliser,46318
20,penser,39658
21,comprendre,38010
22,rester,37791
23,connaître,37008
24,partir,36895
25,jouer,36179
26,aimer,33880
27,demander,33811
28,parler,33720
29,arriver,32426
30,devenir,32164
31,laisser,31641
32,rendre,31440
33,commencer,30620
34,offrir,27905
35,tenir,26858
36,proposer,26413
37,attendre,26153
38,croire,25677
39,suivre,25509
40,sembler,25135
41,obtenir,24780
42,vivre,24727
43,créer,24434
44,agir,23411
45,présenter,22766
46,sortir,22585
47,regarder,22169
48,aider,22092
49,concerner,21501
50,porter,21445
51,choisir,20884
52,retrouver,20359
53,perdre,19854
54,entendre,19763
55,écrire,19115
56,montrer,19052
57,appeler,18759
58,répondre,18640
59,recevoir,18596
60,chercher,18392
61,continuer,18374
62,découvrir,18358
63,gagner,18345
64,travailler,17850
65,lire,17609
66,décider,17508
67,changer,17404
68,réaliser,17262
69,poser,17250
70,assurer,16978
71,sentir,16808
72,revenir,16777
73,compter,16427
74,exister,16267
75,finir,16236
76,acheter,16085
77,apprendre,15447
78,souhaiter,15306
79,ajouter,14792
80,expliquer,14709
81,servir,14618
82,ouvrir,14171
83,produire,13718
84,oublier,13290
85,considérer,13239
86,lancer,13226
87,fournir,13163
88,annoncer,13084
89,arrêter,12967
90,importer,12863
91,prévoir,12752
92,développer,12693
93,garder,12652
94,atteindre,12505
95,organiser,12490
96,rencontrer,12186
97,tomber,12136
98,reconnaître,12025
99,apporter,11876
100,reprendre,11598
101,rappeler,11572
102,profiter,11569
103,envoyer,11463
104,éviter,11440
105,représenter,11347
106,espérer,11324
107,tourner,11045
108,situer,10926
109,installer,10865
110,entrer,10834
111,lier,10771
112,tenter,10651
113,participer,10621
114,mener,10593
115,indiquer,10493
116,augmenter,10350
117,accepter,10300
118,constituer,10287
119,placer,10278
120,élever,10268
121,apparaître,10153
122,effectuer,10002
123,déclarer,9924
124,partager,9922
125,réduire,9863
126,réussir,9817
127,construire,9807
128,occuper,9791
129,tirer,9605
130,publier,9562
131,mourir,9435
132,remettre,9410
133,vendre,9300
134,préparer,9248
135,monter,9182
136,naître,9152
137,préférer,9143
138,établir,9084
139,quitter,9002
140,manquer,8958
141,manger,8953
142,posséder,8891
143,contenir,8880
144,engager,8859
145,associer,8726
146,toucher,8715
147,intéresser,8421
148,améliorer,8381
149,paraître,8317
150,accompagner,8313
151,disposer,8306
152,traiter,8283
153,conduire,8280
154,soutenir,8252
155,inscrire,8206
156,valoir,8162
157,imposer,8137
158,terminer,8097
159,suffire,8048
160,empêcher,8046
161,viser,8001
162,adapter,7987
163,noter,7866
164,former,7855
165,protéger,7813
166,charger,7777
167,marquer,7761
168,battre,7757
169,avancer,7666
170,tuer,7624
171,appliquer,7621
172,fonctionner,7611
173,rentrer,7604
174,composer,7503
175,rejoindre,7463
176,inviter,7404
177,poursuivre,7339
178,cacher,7320
179,affirmer,7296
180,rechercher,7277
181,retourner,7276
182,refuser,7269
183,diriger,7263
184,respecter,7229
185,estimer,7216
186,relever,7185
187,limiter,7154
188,imaginer,7129
189,exprimer,7090
190,fixer,7034
191,confirmer,7017
192,révéler,6981
193,signifier,6841
194,lever,6832
195,maintenir,6824
196,observer,6820
197,gérer,6813
198,baser,6763
199,pousser,6728
200,intégrer,6695
